generation,best_fitness,avg_fitness,worst_fitness,best_lr,best_num_filters,best_num_layers,best_dropout,best_batch_size,elapsed_seconds
0,0.7002,0.5697,0.2999,0.0003,96,3,0.3,64,2082.0
1,0.7059,0.6207,0.2746,0.0003,64,4,0.3,32,3633.8
2,0.7142,0.644,0.306,0.0003,96,4,0.3,32,5717.1
3,0.7142,0.683,0.5093,0.0003,96,4,0.3,32,7253.7
4,0.719,0.6851,0.5951,0.0003,128,4,0.3,128,9510.8
5,0.7231,0.6939,0.5621,0.0003,96,4,0.3,32,11176.1
6,0.7231,0.6904,0.5299,0.0003,96,4,0.3,32,12616.4
7,0.7231,0.6881,0.3956,0.0003,96,4,0.3,32,14017.4
8,0.7231,0.6934,0.5955,0.0003,96,4,0.3,32,15972.0
9,0.7237,0.7023,0.6599,0.0003,96,4,0.3,32,17938.4
10,0.7338,0.6954,0.6361,0.0003,96,4,0.3,32,20138.6
